,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,Spread love not hate. #AllLivesMatter,Spread love not hate. ,The new thing is beating up White people and filming it. So brave. So woke. #AllLivesMatter,The new thing is beating up White people and filming it. So brave. So woke. ,"But you can loot, takeover streets, start fires, attack police and not get arrested.  #ALLLIVESMATTER","But you can loot, takeover streets, start fires, attack police and not get arrested.  ","I’m with these safe and sensible cities. It’s painful, but possible to recover from economic hardship. That’s not the case with death. #AllLivesMatter","I’m with these safe and sensible cities. It’s painful, but possible to recover from economic hardship. That’s not the case with death. ","If you are wondering where the madness comes from - look to your universities and increasingly your high schools, middle schools and elementary schools. There was a time when we taught kids the 3 R's. Nowadays we're teaching them to hate the USA. #AllLivesMatter","If you are wondering where the madness comes from - look to your universities and increasingly your high schools, middle schools and elementary schools. There was a time when we taught kids the 3 R's. Nowadays we're teaching them to hate the USA. ",The message is lost when people started attacking private business unfortunately #AllLivesMatter,The message is lost when people started attacking private business unfortunately ,"As an Hispanic, I’ve felt too the racism at one point in my 27 years living in USA.  You have a voice, use it.  No one is above you just because of their skin color.  We ALL matter.  We ALL deserve the right to a decent life #AllLivesMatter","As an Hispanic, I’ve felt too the racism at one point in my 27 years living in USA.  You have a voice, use it.  No one is above you just because of their skin color.  We ALL matter.  We ALL deserve the right to a decent life ",Since when are celebrity (has beens) COVID-19 deaths more important than the deaths of anyone else?  #alllivesmatter,Since when are celebrity (has beens) COVID-19 deaths more important than the deaths of anyone else?  ,There's beauty in every shade. #AllLivesMatter,There's beauty in every shade. ,The left and their push for infanticide.  These people are sick.  #AllLivesMatter,The left and their push for infanticide.  These people are sick.  
11,Really believe a lot of good people of all races are quiet. Unless you all speak up nothing will change... why is there so much injustice #AllLivesMatter,Really believe a lot of good people of all races are quiet. Unless you all speak up nothing will change... why is there so much injustice ,"When will our governments stop playing ""doctor doctor"" and start playing ""governance governance"" ? #alllivesmatter","When will our governments stop playing ""doctor doctor"" and start playing ""governance governance"" ? ",Again with no provocation lives are destroyed and we await justice for them #AllLivesMatter,Again with no provocation lives are destroyed and we await justice for them ,The concept of US society and US constitution hasn't worked well for a single day since 4th July 1776. #AllLivesMatter,The concept of US society and US constitution hasn't worked well for a single day since 4th July 1776. ,Civilization is more than just rocks tricked into thinking and doing. #AllLivesMatter,Civilization is more than just rocks tricked into thinking and doing. ,Don’t let the racists in the protests tarnish your heart.  They are playing a game of divide and conquer. Expose their lies and hypocrisy. #alllivesmatter,Don’t let the racists in the protests tarnish your heart.  They are playing a game of divide and conquer. Expose their lies and hypocrisy. ,"How many deaths does it take to stop what seems to be a race war? This all started, by what seems to be a racist police officer. This is no-one's fault, but THAT police officer. #AllLivesMatter","How many deaths does it take to stop what seems to be a race war? This all started, by what seems to be a racist police officer. This is no-one's fault, but THAT police officer. ","AOC wants to justify an infant being killed, by claiming the cause is someone needing a loaf of bread. I didn't see any looters walking out with loaves of bread, maybe the bread was hidden in the Louis Vuitton bag, or in a Nike shoe box they were carrying out #AllLivesMatter","AOC wants to justify an infant being killed, by claiming the cause is someone needing a loaf of bread. I didn't see any looters walking out with loaves of bread, maybe the bread was hidden in the Louis Vuitton bag, or in a Nike shoe box they were carrying out ",It's ok to be any colour. #AllLivesMatter,It's ok to be any colour. ,"the fact that some people think that their lives have more worth than others, make them the most worthless people of all. #AllLivesMatter","the fact that some people think that their lives have more worth than others, make them the most worthless people of all. "
12,You know what all these terrorists and muslims have in common? Nothing. Islam teaches us that life is sacred. #AllLivesMatter,You know what all these terrorists and muslims have in common? Nothing. Islam teaches us that life is sacred. ,These are the animals ‘protesting’ death of whatever the fuck his name was. #ALLLivesMatter,These are the animals ‘protesting’ death of whatever the fuck his name was. ,If one house burns to the ground not all houses matter at that moment! #AllLivesMatter,If one house burns to the ground not all houses matter at that moment! ,It would be so great if our country could just come together and treat everyone the same with equality. #AllLivesMatter,It would be so great if our country could just come together and treat everyone the same with equality. ,I hate that ALL of these goddamn emojis only come in fucking yellow. #alllivesmatter,I hate that ALL of these goddamn emojis only come in fucking yellow. ,Imagine been in the freest country in the world and feel oppressed 24/7. #AllLivesMatter,Imagine been in the freest country in the world and feel oppressed 24/7. ,They claim to not be Bigots/Racists but their very words and actions scream that they are just that Bigots/Racists. #AllLivesMatter,They claim to not be Bigots/Racists but their very words and actions scream that they are just that Bigots/Racists. ,I've been seeing people say if you dont see color you are the problem well I wanna say this. I dont see the color of people's skin I see the person's character and how they treat others. If I dont like you I guarantee it's because you aren't a good person. #AllLivesMatter,I've been seeing people say if you dont see color you are the problem well I wanna say this. I dont see the color of people's skin I see the person's character and how they treat others. If I dont like you I guarantee it's because you aren't a good person. ,"So sad people buy into race baiting and can’t simply love people for being human. My children see people for people, not objects based on skin color. #AllLivesMatter","So sad people buy into race baiting and can’t simply love people for being human. My children see people for people, not objects based on skin color. ","just wondering why everybody is getting mad at police for being racist and stereotypical, but in reality, saying that ALL police are racist and stereotypical is in fact, stereotypical. #AllLivesMatter","just wondering why everybody is getting mad at police for being racist and stereotypical, but in reality, saying that ALL police are racist and stereotypical is in fact, stereotypical. "
13,"Oh look, the ivory tower is showing its rather pale colors. #BlackLivesMatter","Oh look, the ivory tower is showing its rather pale colors. ",It terrifies me that if I respond out of fear and my lizard brain rather than from a place of love to know this is a possibility and this needs to change within myself as well as within the systemic issues. #BlackLivesMatter,It terrifies me that if I respond out of fear and my lizard brain rather than from a place of love to know this is a possibility and this needs to change within myself as well as within the systemic issues. ,Praying for Jacob Blake and disgusted by yet another police shooting of an unarmed human.  #BlackLivesMatter,Praying for Jacob Blake and disgusted by yet another police shooting of an unarmed human.  ,The world has become a strange place today. It is sad to see Humanity struggling to stay human. We can either sit in the fringe and pray or use our hands to create a better tomorrow. Hoping things will turn towards better one day. #BlackLivesMatter,The world has become a strange place today. It is sad to see Humanity struggling to stay human. We can either sit in the fringe and pray or use our hands to create a better tomorrow. Hoping things will turn towards better one day. ,"Will miss hockey tonight, but it’s for the right reason! #BlackLivesMatter","Will miss hockey tonight, but it’s for the right reason! ",I’m black EVERYDAY. Cops get off days. #BlackLivesMatter,I’m black EVERYDAY. Cops get off days. ,Praying for nothing but healing all over the U.S #BlackLivesMatter,Praying for nothing but healing all over the U.S ,WE HAVE A RIGHT TO DIGNITY #BLACKLIVESMATTER,WE HAVE A RIGHT TO DIGNITY ,Amazing what how one decision can redirect a life. #blacklivesmatter,Amazing what how one decision can redirect a life. ,When is this shit gone stop? Why are we targeted like this? #BlackLivesMatter,When is this shit gone stop? Why are we targeted like this? 
14,"I know people are exhausted from the past few days. Some perspective: that fear, the pit in your stomach, the tiredness and hopelessness you feel now, is how many black people feel their entire lives #BlackLivesMatter","I know people are exhausted from the past few days. Some perspective: that fear, the pit in your stomach, the tiredness and hopelessness you feel now, is how many black people feel their entire lives ",It’s time to retire the Mississippi state flag #blacklivesmatter,It’s time to retire the Mississippi state flag ,Law doesn't change anything unless the people do. #BlackLivesMatter,Law doesn't change anything unless the people do. ,Fuck the police. Fuck white supremacists. Juneteenth should be a national holiday. #Blacklivesmatter,Fuck the police. Fuck white supremacists. Juneteenth should be a national holiday. ,Sports can wait. #BlackLivesMatter,Sports can wait. ,Another black man killed like an animal by people who have pledged their lives to protect and serve. How many more have to die before our policing institution truly believe that all men are created equal #BlackLivesMatter,Another black man killed like an animal by people who have pledged their lives to protect and serve. How many more have to die before our policing institution truly believe that all men are created equal ,Respect to the Bucks and all NBA teams and players for their upcoming boycotts. Keep what is really important number one. Start again when it’s time. No rush to play basketball.. but we need to rush to equality. #BlackLivesMatter,Respect to the Bucks and all NBA teams and players for their upcoming boycotts. Keep what is really important number one. Start again when it’s time. No rush to play basketball.. but we need to rush to equality. ,If your a racist cunt please unfollow me cheers #BlackLivesMatter,If your a racist cunt please unfollow me cheers ,"When I was in elementary school I was always told that America was a place that valued equality, justice, peace, and freedom for all. How am I supposed to believe that when our own country is targeting people simply because of the color of their skin? #BlackLivesMatter","When I was in elementary school I was always told that America was a place that valued equality, justice, peace, and freedom for all. How am I supposed to believe that when our own country is targeting people simply because of the color of their skin? ","When is this going to stop. In Wisconsin, a black man was shot seven times and no weapon was even found that the police claimed he had. This is repulsive and disgusting behavior that is being exhibited by police officers towards African-Americans. #BlackLivesMatter","When is this going to stop. In Wisconsin, a black man was shot seven times and no weapon was even found that the police claimed he had. This is repulsive and disgusting behavior that is being exhibited by police officers towards African-Americans. "
15,"Also only a sick, racist sociopath would have their boot in the neck of a black man to begin with. #BlackLivesMatter","Also only a sick, racist sociopath would have their boot in the neck of a black man to begin with. ","I'm hearing that TikTok is anti-black, which makes me anti-TikTok. Fuck that shit. #BlackLivesMatter","I'm hearing that TikTok is anti-black, which makes me anti-TikTok. Fuck that shit. ","Can wrestling companies stop booking talent who use the n word? How do you expect black wrestlers to speak up, when you book these racists?  #BlacklivesMatter","Can wrestling companies stop booking talent who use the n word? How do you expect black wrestlers to speak up, when you book these racists?  ",Nah prison isn’t even cutting it for me. I want him to suffer black mirror white bear style punishment. All of these murdering police officers! #BlackLivesMatter,Nah prison isn’t even cutting it for me. I want him to suffer black mirror white bear style punishment. All of these murdering police officers! ,Arrest the police that shot Jacob Blake #BlackLivesMatter,Arrest the police that shot Jacob Blake ,"ITS NOT JUST POLICE, RACISM GOES SO DEEP THROUGH THE SYSTEM. SICKENING. #BlackLivesMatter","ITS NOT JUST POLICE, RACISM GOES SO DEEP THROUGH THE SYSTEM. SICKENING. ",Y’all gonna let people take knees now? #BlackLivesMatter,Y’all gonna let people take knees now? ,Please stop killing my people. #BlackLivesMatter,Please stop killing my people. ,This isn’t about right versus left. It’s about right versus wrong. Do what’s right...every time. #BlackLivesMatter,This isn’t about right versus left. It’s about right versus wrong. Do what’s right...every time. ,"People coming out in large numbers in support of a cause in the middle of a pandemic shows us that some things should be eradicated from the world even before the virus. End hatred, end prejudice, end racism. Speak up. #BlackLivesMatter","People coming out in large numbers in support of a cause in the middle of a pandemic shows us that some things should be eradicated from the world even before the virus. End hatred, end prejudice, end racism. Speak up. "
16,"For George Floyd, For Breonna Taylor, for everything not caught on camera. #BlackLivesMatter","For George Floyd, For Breonna Taylor, for everything not caught on camera. ",I'm Latino and I feel traumatized by all the evil actions against my Black brothers and sisters. I can only imagine the trauma Black folks go through having to see that hate ALL THE TIME. #BlackLivesMatter,I'm Latino and I feel traumatized by all the evil actions against my Black brothers and sisters. I can only imagine the trauma Black folks go through having to see that hate ALL THE TIME. ,There’s an ocean wide gap between being offended and being dead. #BlackLivesMatter,There’s an ocean wide gap between being offended and being dead. ,"whether you’re having tough conversations with your friends & family, or reading that book you ordered online, or fundraising/donating to organizations, or registering to vote (+ actually showing up to the polls!), just keep going. We still have a long way to go #BlackLivesMatter","whether you’re having tough conversations with your friends & family, or reading that book you ordered online, or fundraising/donating to organizations, or registering to vote (+ actually showing up to the polls!), just keep going. We still have a long way to go ",Love this NBA strike and the unity of the players to use their platform to demand justice.  #BlackLivesMatter,Love this NBA strike and the unity of the players to use their platform to demand justice.  ,i am absolutely so sick and tired of watching black man after black man die on camera.  when will our lives matter? when will my blackness not be viewed as a weapon? when will our lives truly matter? #BlackLivesMatter,i am absolutely so sick and tired of watching black man after black man die on camera.  when will our lives matter? when will my blackness not be viewed as a weapon? when will our lives truly matter? ,It’s disgusting that ‘till this day people are still being judged by the color of their skin. #blacklivesmatter,It’s disgusting that ‘till this day people are still being judged by the color of their skin. ,Listen louder #blacklivesmatter,Listen louder ,Salute the whole NBA right now... this is what you do when you are given such a big platform!! #BlackLivesMatter,Salute the whole NBA right now... this is what you do when you are given such a big platform!! ,I pray Jacob Blake recovers. Not another death. #BlackLivesMatter,I pray Jacob Blake recovers. Not another death. 
17,- We need action and WE NEED YOU TO HOLD EACH OTHER ACCOUNTABLE. Period. #BlackLivesMATTER,- We need action and WE NEED YOU TO HOLD EACH OTHER ACCOUNTABLE. Period. ,"If you're a teacher and reading this, introduce your students to Black authors! Black authors are American authors! #BlackLivesmatter","If you're a teacher and reading this, introduce your students to Black authors! Black authors are American authors! ","Lost my AirPods .. Support my GoFundMe for a new pair, any donation will be appreciated big or small #BlackLivesMatter","Lost my AirPods .. Support my GoFundMe for a new pair, any donation will be appreciated big or small ",silence is violence #BlackLivesMatter,silence is violence ,I've said it before and I'll keep saying it BOMBING BUILDINGS IS NOT PROTESTING; ITS TERRORISM #BlackLivesMatter,I've said it before and I'll keep saying it BOMBING BUILDINGS IS NOT PROTESTING; ITS TERRORISM ,I support the Bucks boycott #BlackLivesMatter,I support the Bucks boycott ,We are not a threat but only your own fear and worries which mirror  your own mindset. We are human as you are. #BlackLivesMatter,We are not a threat but only your own fear and worries which mirror  your own mindset. We are human as you are. ,"If you keep fighting our progress, you’re gonna be on the wrong side of history #BlackLivesMatter","If you keep fighting our progress, you’re gonna be on the wrong side of history ","Today’s decision over Breonna Taylor’s murder makes explicit as a legal principle that, in the eyes of the state, Black people are worth less than property. #BlackLivesMatter","Today’s decision over Breonna Taylor’s murder makes explicit as a legal principle that, in the eyes of the state, Black people are worth less than property. ",This needs to be a moment in history. #BlackLivesMatter,This needs to be a moment in history. 
18,"Happy (?) 142,566th Day of Black people being treated like sh*t in this country. Give or take a few days. But who's counting. #BlackLivesMatter","Happy (?) 142,566th Day of Black people being treated like sh*t in this country. Give or take a few days. But who's counting. ","When Trump says Americans should be able to walk the streets free of fear, he's referring, of course, only to white people...#BlackLivesMatter","When Trump says Americans should be able to walk the streets free of fear, he's referring, of course, only to white people...",Black folks are getting the cops called on them for *napping* now #BlackLivesMatter,Black folks are getting the cops called on them for *napping* now ,History has its knee on the neck of white supremacy.                                     #BlackLivesMatter,History has its knee on the neck of white supremacy.                                     ,"First George Floyd, then Breonna Taylor, and now Jacob Blake. Enough is enough. #BlackLivesMatter","First George Floyd, then Breonna Taylor, and now Jacob Blake. Enough is enough. ",Continuously support us and the black community #BlackLivesMatter,Continuously support us and the black community ,2020 would be so much more bearable if cops would stop shooting Black people. #Blacklivesmatter,2020 would be so much more bearable if cops would stop shooting Black people. ,The reason supporters of Puerto Rico Statehood are racist is in fact that they support statehood because they believe the islands have too many black people (themselves included) to possibly be successful  at governing themselves. #BlackLivesMatter,The reason supporters of Puerto Rico Statehood are racist is in fact that they support statehood because they believe the islands have too many black people (themselves included) to possibly be successful  at governing themselves. ,people cannot be excluded only because of their skin color! #BlackLivesMatter,people cannot be excluded only because of their skin color! ,The black community know cops r needed 2 keep communities safe. What they're trying 2 convey is that rogue cops using their uniform 2 carry out their hatred against POC ISNT whats needed. They want the police dept 2 clean out their precincts of rogue cops. #BlackLivesMatter,The black community know cops r needed 2 keep communities safe. What they're trying 2 convey is that rogue cops using their uniform 2 carry out their hatred against POC ISNT whats needed. They want the police dept 2 clean out their precincts of rogue cops. 
19,This is what y'all are best at smh.. A black man is done wrong so you bring up his past to justify the violence  brought upon him. #BlackLivesMatter,This is what y'all are best at smh.. A black man is done wrong so you bring up his past to justify the violence  brought upon him. ,"White people, it’s time to do better. Way better. #BlackLivesMatter","White people, it’s time to do better. Way better. ","I have a serious question. Wouldn't the removal of the question of race in applications (employment, tests, rental etc) be a more practical step for the black/brown people than, say, the bringing down of statues? #BlackLivesMatter","I have a serious question. Wouldn't the removal of the question of race in applications (employment, tests, rental etc) be a more practical step for the black/brown people than, say, the bringing down of statues? ",Everybody needs to speak out when we see something that is wrong. We can no longer keep silent we must call it out. #BlackLivesMatter,Everybody needs to speak out when we see something that is wrong. We can no longer keep silent we must call it out. ,"Hey, any other governments out there looking to take down a fascist regime? We could use some help here in the US... #BlackLivesMatter","Hey, any other governments out there looking to take down a fascist regime? We could use some help here in the US... ",I hope y’all boycott 4th of July #BlackLivesMatter,I hope y’all boycott 4th of July ,"Going to try and get a couple more hours sleep whilst it's still relatively cool before another long day. America has broken my heart. Proud of everyone protesting. Please stay safe, stay together and keep recording. #BlackLivesMatter","Going to try and get a couple more hours sleep whilst it's still relatively cool before another long day. America has broken my heart. Proud of everyone protesting. Please stay safe, stay together and keep recording. ",A message to the Good Cops: Stand up. Speak out. Be the voice of change. Your voice is needed; reform is necessary. Say it. Mean it. Show it. #BlackLivesMatter,A message to the Good Cops: Stand up. Speak out. Be the voice of change. Your voice is needed; reform is necessary. Say it. Mean it. Show it. ,which one needs to be trained the dog or the police . You let the dogs do your dirty work #BlackLivesMatter,which one needs to be trained the dog or the police . You let the dogs do your dirty work ,"DO NOT EXPECT PEACE, IF PEACE IS NOT GIVEN. #BlackLivesMatter","DO NOT EXPECT PEACE, IF PEACE IS NOT GIVEN. "
20,"Not everyone has a voice about what is going on right now and that is understandable, but everyone has knowledge about racism. If your at home or your in the streets help end racism immediately & lets help create peace & equality for every human on this planet. #BlackLivesMatter","Not everyone has a voice about what is going on right now and that is understandable, but everyone has knowledge about racism. If your at home or your in the streets help end racism immediately & lets help create peace & equality for every human on this planet. ",Salute to all the black men who fought for this country without getting shit in return #BlackLivesMatter,Salute to all the black men who fought for this country without getting shit in return ,A 19 YEAR OLD WAS KILLED AT THE DETROIT PROTEST!! PLEASE BE FUCKIN SAFE!! YOUR FAMILIES WANT YOU TO COME HOME!! #BlackLivesMatter,A 19 YEAR OLD WAS KILLED AT THE DETROIT PROTEST!! PLEASE BE FUCKIN SAFE!! YOUR FAMILIES WANT YOU TO COME HOME!! ,How is it possible that people still think there is no oppression and racial profiling in the US?#BlackLivesMatter,How is it possible that people still think there is no oppression and racial profiling in the US?,"When someone says they don't see color, that's just another case of the blind leading the blind #BlackLivesMatter","When someone says they don't see color, that's just another case of the blind leading the blind ",Another shooting. I'm going to avoid social media today. #BlackLivesMatter,Another shooting. I'm going to avoid social media today. ,"If anyone goes out and protests, be careful! Please. We can't lose any more lives. Stay safe  #BlackLivesMatter","If anyone goes out and protests, be careful! Please. We can't lose any more lives. Stay safe  ","Just seen the video where Kenosha police shooting a man in the back. Its not necessary, its not human, its wrong. #BlackLivesMatter","Just seen the video where Kenosha police shooting a man in the back. Its not necessary, its not human, its wrong. ",Every time the police murder someone they try to criminalise the victim. Every fucking time. Isn't it time the press did the right thing? #BlackLivesMatter,Every time the police murder someone they try to criminalise the victim. Every fucking time. Isn't it time the press did the right thing? ,Crazy how people have already stopped talking about George Floyd. #BlackLivesMatter,Crazy how people have already stopped talking about George Floyd. 
21,It's good to see actions taken for the good of society. #BlackLivesMatter,It's good to see actions taken for the good of society. ,"Liberals see protests/riots as positive push for change, as long as it's happening in someone else's (black) neighborhood. #BlackLivesMatter","Liberals see protests/riots as positive push for change, as long as it's happening in someone else's (black) neighborhood. ",Don't trust those old white men swearing on values they only pretend to share and claim to stop Blacks and minorities to advance. #BlackLivesMatter,Don't trust those old white men swearing on values they only pretend to share and claim to stop Blacks and minorities to advance. ,"A reminder that slavery has not been abolished and still exists within our prison system. It still targets black men and abuses their labor. Anyways, happy July. #BlackLivesMatter","A reminder that slavery has not been abolished and still exists within our prison system. It still targets black men and abuses their labor. Anyways, happy July. ",Challenge racism in your family and in your neighbourhood. Be brave. No excuses. #BlackLivesMatter,Challenge racism in your family and in your neighbourhood. Be brave. No excuses. ,Happy Saturday. #BlackLivesMatter,Happy Saturday. ,"Truly effective antiracism, by definition, requires white people to step out of their comfort zones. #BlackLivesMatter","Truly effective antiracism, by definition, requires white people to step out of their comfort zones. ",Praying for everyone's safety and well-being. We will get through this. #BlackLivesMatter,Praying for everyone's safety and well-being. We will get through this. ,"Think about THIS, the City of Louisville would rather PAY $12 MILLION that ARREST Breonna Taylor's KILLERS! #BlackLivesMatter","Think about THIS, the City of Louisville would rather PAY $12 MILLION that ARREST Breonna Taylor's KILLERS! ",Arrest the men who murdered Breonna Taylor. #BlackLivesMatter,Arrest the men who murdered Breonna Taylor. 
22,No one needs to protect statues. They can look after themselves. #BlackLivesMatter,No one needs to protect statues. They can look after themselves. ,the fact that the person who murdered George Floyd got away with mere third degree murder and manslaughter is a slap to the face right now and is only going to fuel this fire #BlackLivesMatter,the fact that the person who murdered George Floyd got away with mere third degree murder and manslaughter is a slap to the face right now and is only going to fuel this fire ,The bad thing is when I saw monkey trending I knew right away it was something to do with Trump and the convention goers. Sad state of affairs #BlackLivesMatter,The bad thing is when I saw monkey trending I knew right away it was something to do with Trump and the convention goers. Sad state of affairs ,"Too many men, women and children have died at the hands of hate. So many names that many have never heard. I think each state should be designing and constructing monuments to our beloved brothers and sisters that have died by police brutality. #BlackLivesMatter","Too many men, women and children have died at the hands of hate. So many names that many have never heard. I think each state should be designing and constructing monuments to our beloved brothers and sisters that have died by police brutality. ","I’m really down about the news today...by the injustices, the violence, the scheming, and the finger-pointing. So I went on a two-hour walk with my kid. We were silly. We took pictures. We laughed. And I never once feared for our lives. That’s the difference.  #BlackLivesMatter","I’m really down about the news today...by the injustices, the violence, the scheming, and the finger-pointing. So I went on a two-hour walk with my kid. We were silly. We took pictures. We laughed. And I never once feared for our lives. That’s the difference.  ",Most white folk have life insurance policies. Majority of black families don't. Play chess not checkers . #BlackLivesMatter,Most white folk have life insurance policies. Majority of black families don't. Play chess not checkers . ,"Police again, Protecting and Serving Some People to DEATH. #BlackLivesMatter","Police again, Protecting and Serving Some People to DEATH. ",I been harassed & searched by the police so many times I lost count. Them pigs deserve all the publicity they getting. #BlacklivesMatter,I been harassed & searched by the police so many times I lost count. Them pigs deserve all the publicity they getting. ,The whole damn system is guilty as hell. #BlackLivesMatter,The whole damn system is guilty as hell. ,"Everyone have a great holiday weekend? Good, now let’s all get back to work & arrest the cops that killed Breonna Taylor #BlackLivesMatter","Everyone have a great holiday weekend? Good, now let’s all get back to work & arrest the cops that killed Breonna Taylor "
23,"gn moots, say it back and always remember; acab. #BlackLivesMatter","gn moots, say it back and always remember; acab. ",I don't know what to say other than it needs to stop. #BlackLivesMatter,I don't know what to say other than it needs to stop. ,OMG!  The world is changing!  #BlackLivesMatter,OMG!  The world is changing!  ,Thank you Colin. You walked so the rest of us could run. #BlackLivesMatter,Thank you Colin. You walked so the rest of us could run. ,"Can we make guns in America illegal now? At the very least the police don't need to carry them, they have proven time and again they can't be trusted with them #BlackLivesMatter","Can we make guns in America illegal now? At the very least the police don't need to carry them, they have proven time and again they can't be trusted with them ",Whole bunch of crazy fuck shit going on #BlackLivesMatter,Whole bunch of crazy fuck shit going on ,"Skin-head comes in store w/girlfriend. Dirty looks at me for my mask. Doesn't have enough money. I spot him the difference. Sure I'd like to smack him, but love feels better than hate. Plant a seed, hope it grows. #BlackLivesMatter","Skin-head comes in store w/girlfriend. Dirty looks at me for my mask. Doesn't have enough money. I spot him the difference. Sure I'd like to smack him, but love feels better than hate. Plant a seed, hope it grows. ",Trumpists: He is not a perfect man but nobody is and it’s OK because he does so much that we like.  Also trumpists: Black men murdered in cold blood by police deserve it because they are not perfect men.  #BlackLivesMatter,Trumpists: He is not a perfect man but nobody is and it’s OK because he does so much that we like.  Also trumpists: Black men murdered in cold blood by police deserve it because they are not perfect men.  ,"An international study has found that the Chinese people originated not from Peking Man in northern China, but from early humans in East Africa who moved through South Asia. #BlackLivesMatter","An international study has found that the Chinese people originated not from Peking Man in northern China, but from early humans in East Africa who moved through South Asia. ","This is still happening in America. In 2020. Excessive force, police acting like they’re above the law, and brutality against minorities. #BlackLivesMatter","This is still happening in America. In 2020. Excessive force, police acting like they’re above the law, and brutality against minorities. "
24,Did you know blue lives don’t exist? People can quit being a cop if they want. Black people can’t choose the color of their skin nor can they change it #blacklivesmatter,Did you know blue lives don’t exist? People can quit being a cop if they want. Black people can’t choose the color of their skin nor can they change it ,Fuck the national Anthem and the flag #BlackLivesMatter,Fuck the national Anthem and the flag ,"Everyone who wants a woman to get charged for false rape accusations, should have the same energy for white people who make a false report about a person of colour, putting their lives in danger! #BlackLivesMatter","Everyone who wants a woman to get charged for false rape accusations, should have the same energy for white people who make a false report about a person of colour, putting their lives in danger! ",It may seem like that we can’t win but trust me. We will win. We can and will change the system. #BlackLivesMatter,It may seem like that we can’t win but trust me. We will win. We can and will change the system. ,Blue Lives aren’t a fu*king real thing!!! You can take off your uniform! WE CAN’T TAKE OFF OUR SKIN!!!!!!!!! #blacklivesmatter,Blue Lives aren’t a fu*king real thing!!! You can take off your uniform! WE CAN’T TAKE OFF OUR SKIN!!!!!!!!! ,"Donald Trump is trying to stoke a race war. What he doesn’t realize is that most whites are not hate filled racists or white supremacists. Most of us are standing on behalf of black lives and against racism. It may get ugly, but ultimately he will not succeed #BlackLivesMatter","Donald Trump is trying to stoke a race war. What he doesn’t realize is that most whites are not hate filled racists or white supremacists. Most of us are standing on behalf of black lives and against racism. It may get ugly, but ultimately he will not succeed ","i know it’s crazy to riot, but what’s crazier is that black people are still being slaughtered by police #BlackLivesMatter","i know it’s crazy to riot, but what’s crazier is that black people are still being slaughtered by police ","It wasn’t murder hornets making their way to America, it was murder wasps already living here! #blacklivesmatter","It wasn’t murder hornets making their way to America, it was murder wasps already living here! ","Unfortunately gang attacking people has become part of urban young Black American culture. It would be cool if it wasn't, but I guess it is what it is... #BlackLivesMatter","Unfortunately gang attacking people has become part of urban young Black American culture. It would be cool if it wasn't, but I guess it is what it is... ","Yes, mostly empty gestures, essentially crumbs. It did feel good to see those racist monuments come down though. No lie. This isn’t over yet though. Let’s demand more. #BlackLivesMatter","Yes, mostly empty gestures, essentially crumbs. It did feel good to see those racist monuments come down though. No lie. This isn’t over yet though. Let’s demand more. "
25,Literally sat and cried watching protest videos. #BlackLivesMatter,Literally sat and cried watching protest videos. ,"Correct. Language here is important. Proud of the players for showing solidarity w each other & using their power to demand more from their employers, their leaders, and their fans. I hope more teams (beyond just the NBA) follow the Bucks’ lead #BlackLivesMatter","Correct. Language here is important. Proud of the players for showing solidarity w each other & using their power to demand more from their employers, their leaders, and their fans. I hope more teams (beyond just the NBA) follow the Bucks’ lead ","How could you want real racism to end and true equality to flourish when the divisiveness and hate are how you make lots of money. Just like that...the next Al Sharpton is born to carry the torch, light the fires and capitalize on the hate for years to come. #BlackLivesMatter","How could you want real racism to end and true equality to flourish when the divisiveness and hate are how you make lots of money. Just like that...the next Al Sharpton is born to carry the torch, light the fires and capitalize on the hate for years to come. ",Just bc the internet is having issues doesny mean we can't still fight injustice against black people. #BlackLivesMatter,Just bc the internet is having issues doesny mean we can't still fight injustice against black people. ,"In this country white people will go out of their way to rescue a dog or a cat , instead of a black person. #BlackLivesMatter","In this country white people will go out of their way to rescue a dog or a cat , instead of a black person. ",So many lost lives for absolutely no reason. #BlackLivesMatter,So many lost lives for absolutely no reason. ,The revolution have been televised #BlackLivesMatter,The revolution have been televised ,Once again Progressives lead the way.  We should start having a real talk about what defunding the police looks like.  #BlackLivesMatter,Once again Progressives lead the way.  We should start having a real talk about what defunding the police looks like.  ,"I will not stay silent.  The injustices my Black neighbors, colleagues, family, and friends experience daily is wrong and must end.  I am listening.  I am reflecting.  I am learning.  I am becoming a better ally and supporter of my Black brothers and sisters.  #BlackLivesMatter","I will not stay silent.  The injustices my Black neighbors, colleagues, family, and friends experience daily is wrong and must end.  I am listening.  I am reflecting.  I am learning.  I am becoming a better ally and supporter of my Black brothers and sisters.  ","Ignorance is bliss. No more lives need to be lost in this fight. Lucky enough for those reading this, we still have our lives. Make it count and make a difference. Be loud. Be aggressive. We aren’t taking no for an answer. #BlackLivesMatter","Ignorance is bliss. No more lives need to be lost in this fight. Lucky enough for those reading this, we still have our lives. Make it count and make a difference. Be loud. Be aggressive. We aren’t taking no for an answer. "
